User ID Date Description Credit (Rs.) Debit (Rs.) Balance (Rs.)
"IN04 0001 2345 6789 03/01/2024 Uber Ride 461.64 44,738.36"
"IN04 0003 4567 8901 11/07/2024 Credit Card Payment 18,920.98 46,385.33"
"IN04 0003 4567 8901 13/07/2024 ATM Withdrawal 1,798.66 44,586.67"
"IN04 0003 4567 8901 13/07/2024 Cash Deposit 13,428.14 31,158.53"
"IN04 0003 4567 8901 13/07/2024 Cashback Credit 4,328.20 35,486.73"
"IN04 0003 4567 8901 15/07/2024 Term Plan 3,851.94 31,634.79"
"IN04 0003 4567 8901 15/07/2024 Bus Booking 1,610.66 30,024.13"
"IN04 0003 4567 8901 16/07/2024 PPF Contribution 1,546.63 28,477.50"
"IN04 0003 4567 8901 16/07/2024 Bonus Credit 47,051.57 75,529.07"
"IN04 0003 4567 8901 19/07/2024 Cashback Credit 1,701.17 77,230.24"
"IN04 0003 4567 8901 20/07/2024 Mobile Recharge 124.74 77,105.50"
"IN04 0003 4567 8901 20/07/2024 Cash Deposit 7,429.87 69,675.63"
"IN04 0003 4567 8901 20/07/2024 Hospital Bill 19,920.29 49,755.34"
"IN04 0003 4567 8901 21/07/2024 EMI Debit 19,147.98 30,607.36"
"IN04 0003 4567 8901 21/07/2024 GST Refund 4,457.49 35,064.85"
"IN04 0003 4567 8901 23/07/2024 Uber Ride 1,058.27 34,006.58"
"IN04 0003 4567 8901 23/07/2024 Hotel Booking 2,907.51 31,099.07"
"IN04 0003 4567 8901 24/07/2024 Dividend Credit 70,452.61 101,551.68"
"IN04 0003 4567 8901 24/07/2024 ATM Withdrawal 8,638.00 92,913.68"
"IN04 0003 4567 8901 24/07/2024 NEFT Outward 17,173.31 110,086.99"
"IN04 0003 4567 8901 25/07/2024 PPF Contribution 7,022.72 103,064.27"
"IN04 0003 4567 8901 25/07/2024 ATM Withdrawal 11,830.10 91,234.17"
"IN04 0003 4567 8901 26/07/2024 Life Insurance 4,980.48 86,253.69"
"IN04 0003 4567 8901 27/07/2024 Hotel Booking 19,790.08 66,463.61"
"IN04 0003 4567 8901 28/07/2024 Netflix Subscription 879.83 65,583.78"
"IN04 0003 4567 8901 30/07/2024 Spotify Premium 1,117.64 64,466.14"
"IN04 0003 4567 8901 31/07/2024 GST Refund 4,807.92 69,274.06"
"IN04 0003 4567 8901 31/07/2024 Gym Membership 14,937.63 54,336.43"
"IN04 0003 4567 8901 01/08/2024 Water Bill 623.18 53,713.25"
"IN04 0003 4567 8901 01/08/2024 Electricity Bill 3,835.99 49,877.26"
"IN04 0003 4567 8901 02/08/2024 NEFT Inward 24,572.01 25,305.25"
"IN04 0003 4567 8901 02/08/2024 Ola Ride 1,109.82 24,195.43"
"IN04 0003 4567 8901 03/08/2024 DTH Recharge 4,246.08 19,949.35"
"IN04 0003 4567 8901 03/08/2024 FD Opening 9,606.84 10,342.51"
"IN04 0003 4567 8901 03/08/2024 Airport Cab 558.24 9,784.27"
"IN04 0003 4567 8901 04/08/2024 Restaurant Bill 1,930.18 7,854.09"
"IN04 0003 4567 8901 06/08/2024 Hotel Booking 590.47 7,263.62"
"IN04 0003 4567 8901 06/08/2024 EMI Debit 2,917.95 4,345.67"
"IN04 0003 4567 8901 07/08/2024 Term Plan 391.97 3,953.70"
"IN04 0003 4567 8901 07/08/2024 Refund - Flipkart 2,166.40 6,120.10"
"IN04 0003 4567 8901 07/08/2024 EMI Debit 472.63 5,647.47"
"IN04 0003 4567 8901 08/08/2024 Bus Booking 401.04 5,246.43"
"IN04 0003 4567 8901 08/08/2024 Dividend Credit 53,104.54 58,350.97"
"IN04 0003 4567 8901 11/08/2024 Mutual Fund SIP 43,950.11 14,400.86"
"IN04 0003 4567 8901 11/08/2024 Bus Pass 1,636.71 12,764.15"
"IN04 0003 4567 8901 11/08/2024 Mobile Recharge 880.34 11,883.81"
"IN04 0003 4567 8901 13/08/2024 Gym Membership 8,020.99 3,862.82"
"IN04 0003 4567 8901 14/08/2024 Loan Repayment 283.41 3,579.41"
"IN04 0003 4567 8901 14/08/2024 UPI Payment 277.05 3,302.36"
"IN04 0003 4567 8901 15/08/2024 Meesho 1,874.94 1,427.42"
"IN04 0003 4567 8901 15/08/2024 Credit Card Payment 213.63 1,213.79"
"IN04 0003 4567 8901 15/08/2024 Internet Bill 156.36 1,057.43"
IN04 0003 4567 8901 16/08/2024 PPF Contribution 233.07 824.36
IN04 0003 4567 8901 17/08/2024 Myntra Order 174.45 649.91
IN04 0003 4567 8901 17/08/2024 Mobile Recharge 65.97 583.94
IN04 0003 4567 8901 17/08/2024 Mall Shopping 55.41 528.53
IN04 0003 4567 8901 18/08/2024 Postpaid Bill 66.81 461.72
"IN04 0003 4567 8901 18/08/2024 Bonus Credit 8,292.96 8,754.68"
"IN04 0003 4567 8901 18/08/2024 Gas Bill 2,870.91 5,883.77"
"IN04 0003 4567 8901 19/08/2024 Water Bill 976.45 4,907.32"
"IN04 0003 4567 8901 21/08/2024 Lab Test 437.95 4,469.37"
"IN04 0003 4567 8901 21/08/2024 Hospital Bill 2,439.32 2,030.05"
"IN04 0003 4567 8901 21/08/2024 Water Bill 117.31 1,912.74"
"IN04 0003 4567 8901 22/08/2024 Restaurant Bill 1,284.26 628.48"
IN04 0003 4567 8901 22/08/2024 PPF Contribution 156.94 471.54
IN04 0003 4567 8901 23/08/2024 Uber Ride 123.96 347.58
IN04 0003 4567 8901 23/08/2024 Airport Cab 141.40 206.18
IN04 0003 4567 8901 23/08/2024 Bus Pass 139.75 66.43
IN04 0003 4567 8901 24/08/2024 Zomato Order 137.44 -71.01
IN04 0003 4567 8901 26/08/2024 Insurance Premium 165.67 -236.68
IN04 0003 4567 8901 27/08/2024 Netflix Subscription 77.39 -314.07
IN04 0003 4567 8901 27/08/2024 Water Bill 110.40 -424.47
IN04 0003 4567 8901 28/08/2024 PPF Contribution -4.41 -420.06
IN04 0003 4567 8901 29/08/2024 BookMyShow 144.85 -564.91
IN04 0003 4567 8901 29/08/2024 Loan Repayment -5.91 -559.00
IN04 0003 4567 8901 30/08/2024 Electricity Bill 34.19 -593.19
"IN04 0003 4567 8901 30/08/2024 Bonus Credit 44,348.47 43,755.28"
"IN04 0003 4567 8901 30/08/2024 Mobile Recharge 956.49 42,798.79"
"IN04 0003 4567 8901 02/09/2024 Postpaid Bill 946.29 41,852.50"
"IN04 0003 4567 8901 02/09/2024 Credit Card Payment 9,328.43 32,524.07"
"IN04 0003 4567 8901 02/09/2024 IMPS Transfer 10,534.47 21,989.60"
"IN04 0003 4567 8901 03/09/2024 Refund - Flipkart 3,090.74 25,080.34"
"IN04 0003 4567 8901 03/09/2024 PPF Contribution 1,358.59 23,721.75"
"IN04 0003 4567 8901 04/09/2024 Refund - Flipkart 3,557.51 27,279.26"
"IN04 0003 4567 8901 05/09/2024 Swiggy Order 138.05 27,141.21"
"IN04 0003 4567 8901 07/09/2024 Credit Card Payment 1,445.73 25,695.48"
"IN04 0003 4567 8901 08/09/2024 Hotstar 1,228.27 24,467.21"
"IN04 0003 4567 8901 08/09/2024 Ola Ride 1,939.82 22,527.39"
"IN04 0003 4567 8901 09/09/2024 Pharmacy Purchase 6,224.67 16,302.72"
"IN04 0003 4567 8901 09/09/2024 Dividend Credit 29,294.29 45,597.01"
"IN04 0003 4567 8901 12/09/2024 Prime Video 1,113.88 44,483.13"
"IN04 0003 4567 8901 12/09/2024 UPI Payment 33,315.30 77,798.43"
"IN04 0003 4567 8901 13/09/2024 GST Refund 4,585.01 82,383.44"
"IN04 0003 4567 8901 13/09/2024 EMI Debit 19,723.91 62,659.53"
"IN04 0003 4567 8901 14/09/2024 Internet Bill 4,471.09 58,188.44"
"IN04 0003 4567 8901 14/09/2024 Rental Income 39,685.26 97,873.70"
"IN04 0003 4567 8901 14/09/2024 Term Plan 13,952.95 83,920.75"
"IN04 0003 4567 8901 16/09/2024 IMPS Transfer 22,296.05 106,216.80"
"IN04 0003 4567 8901 16/09/2024 IMPS Transfer 32,021.51 74,195.29"
"IN04 0003 4567 8901 17/09/2024 Flipkart Order 4,350.81 69,844.48"
"IN04 0003 4567 8901 17/09/2024 Grocery - BigBasket 2,460.36 67,384.12"
"IN04 0003 4567 8901 18/09/2024 NEFT Inward 15,704.74 51,679.38"
"IN04 0003 4567 8901 19/09/2024 Broadband Bill 1,093.49 50,585.89"
"IN04 0003 4567 8901 19/09/2024 Gym Membership 1,827.28 48,758.61"
"IN04 0003 4567 8901 20/09/2024 Prime Video 1,261.07 47,497.54"
"IN04 0003 4567 8901 21/09/2024 Bus Pass 941.84 46,555.70"
"IN04 0003 4567 8901 21/09/2024 Myntra Order 11,817.17 34,738.53"
"IN04 0003 4567 8901 22/09/2024 Refund - Amazon 2,246.68 36,985.21"
"IN04 0003 4567 8901 24/09/2024 Refund - Flipkart 991.55 37,976.76"
"IN04 0003 4567 8901 24/09/2024 GST Refund 3,675.58 41,652.34"
"IN04 0003 4567 8901 24/09/2024 Rental Income 63,164.99 104,817.33"
"IN04 0003 4567 8901 25/09/2024 EMI Debit 24,842.02 79,975.31"
"IN04 0003 4567 8901 26/09/2024 Ola Ride 1,405.14 78,570.17"
"IN04 0003 4567 8901 29/09/2024 Refund - Amazon 3,450.91 82,021.08"
"IN04 0003 4567 8901 29/09/2024 UPI Payment 13,464.93 68,556.15"
"IN04 0003 4567 8901 01/10/2024 Cafe Coffee Day 1,915.56 66,640.59"
"IN04 0003 4567 8901 01/10/2024 ATM Withdrawal 6,757.17 59,883.42"
"IN04 0003 4567 8901 02/10/2024 Lab Test 10,692.29 49,191.13"
"IN04 0003 4567 8901 03/10/2024 ATM Withdrawal 5,816.76 43,374.37"
"IN04 0003 4567 8901 03/10/2024 Gas Bill 660.86 42,713.51"
"IN04 0003 4567 8901 03/10/2024 NEFT Inward 20,659.61 63,373.12"
"IN04 0003 4567 8901 04/10/2024 Rental Income 25,328.91 88,702.03"
"IN04 0003 4567 8901 04/10/2024 Broadband Bill 903.29 87,798.74"
"IN04 0003 4567 8901 05/10/2024 Myntra Order 9,276.29 78,522.45"
"IN04 0003 4567 8901 06/10/2024 Bonus Credit 8,804.46 87,326.91"
"IN04 0003 4567 8901 06/10/2024 Restaurant Bill 2,265.97 85,060.94"
"IN04 0003 4567 8901 09/10/2024 Swiggy Order 1,112.05 83,948.89"
"IN04 0003 4567 8901 09/10/2024 DTH Recharge 4,467.25 79,481.64"
"IN04 0003 4567 8901 09/10/2024 Cash Deposit 12,518.15 66,963.49"
"IN04 0003 4567 8901 10/10/2024 Spotify Premium 1,097.77 65,865.72"
"IN04 0003 4567 8901 10/10/2024 ATM Withdrawal 19,486.80 46,378.92"
"IN04 0003 4567 8901 11/10/2024 NEFT Outward 3,898.06 42,480.86"
"IN04 0003 4567 8901 11/10/2024 Broadband Bill 235.27 42,245.59"
"IN04 0003 4567 8901 11/10/2024 Gym Membership 9,463.86 32,781.73"
"IN04 0003 4567 8901 12/10/2024 DTH Recharge 1,364.46 31,417.27"
"IN04 0003 4567 8901 13/10/2024 Hotel Booking 21,078.55 10,338.72"
"IN04 0003 4567 8901 13/10/2024 Cash Deposit 694.59 9,644.13"
"IN04 0003 4567 8901 14/10/2024 Mutual Fund SIP 3,735.58 5,908.55"
"IN04 0003 4567 8901 14/10/2024 Myntra Order 466.12 5,442.43"
"IN04 0003 4567 8901 14/10/2024 Lab Test 306.33 5,136.10"
"IN04 0003 4567 8901 16/10/2024 Insurance Premium 390.20 4,745.90"
"IN04 0003 4567 8901 16/10/2024 Loan Repayment 323.45 4,422.45"
"IN04 0003 4567 8901 16/10/2024 Hotel Booking 335.23 4,087.22"
"IN04 0003 4567 8901 17/10/2024 Flight Ticket - IndiGo 369.00 3,718.22"
"IN04 0003 4567 8901 17/10/2024 UPI Received 345.50 3,372.72"
"IN04 0003 4567 8901 17/10/2024 Freelance Payment 17,981.41 21,354.13"
"IN04 0003 4567 8901 19/10/2024 Meesho 9,021.92 12,332.21"
"IN04 0003 4567 8901 19/10/2024 Hotstar 235.81 12,096.40"
"IN04 0003 4567 8901 19/10/2024 Stock Purchase 691.92 11,404.48"
"IN04 0003 4567 8901 21/10/2024 Prime Video 1,002.63 10,401.85"
"IN04 0003 4567 8901 21/10/2024 Swiggy Order 606.62 9,795.23"
"IN04 0003 4567 8901 21/10/2024 DTH Recharge 4,525.95 5,269.28"
"IN04 0003 4567 8901 23/10/2024 ATM Withdrawal 328.85 4,940.43"
"IN04 0003 4567 8901 24/10/2024 Uber Ride 2,060.47 2,879.96"
"IN04 0003 4567 8901 24/10/2024 BookMyShow 897.96 1,982.00"
"IN04 0003 4567 8901 24/10/2024 Cashback Credit 4,596.58 6,578.58"
"IN04 0003 4567 8901 25/10/2024 Broadband Bill 1,486.40 5,092.18"
"IN04 0003 4567 8901 25/10/2024 UPI Payment 425.66 4,666.52"
"IN04 0003 4567 8901 25/10/2024 Car Insurance 1,404.95 3,261.57"
"IN04 0003 4567 8901 28/10/2024 Myntra Order 217.77 3,043.80"
"IN04 0003 4567 8901 28/10/2024 Postpaid Bill 651.37 2,392.43"
"IN04 0003 4567 8901 29/10/2024 Broadband Bill 667.85 1,724.58"
"IN04 0003 4567 8901 29/10/2024 Bus Booking 129.18 1,595.40"
"IN04 0003 4567 8901 30/10/2024 Bus Pass 1,184.56 410.84"
IN04 0003 4567 8901 31/10/2024 Term Plan 220.06 190.78
IN04 0003 4567 8901 31/10/2024 ATM Withdrawal 33.17 157.61
IN04 0003 4567 8901 02/11/2024 Broadband Bill 203.13 -45.52
IN04 0003 4567 8901 03/11/2024 Flipkart Order 86.74 -132.26
"IN04 0003 4567 8901 04/11/2024 GST Refund 3,135.08 3,002.82"
"IN04 0003 4567 8901 04/11/2024 PPF Contribution 315.95 2,686.87"
"IN04 0003 4567 8901 04/11/2024 IRCTC Ticket 225.05 2,461.82"
"IN04 0003 4567 8901 06/11/2024 Life Insurance 184.25 2,277.57"
"IN04 0003 4567 8901 06/11/2024 Cashback Credit 215.64 2,493.21"
"IN04 0003 4567 8901 06/11/2024 Cafe Coffee Day 1,249.51 1,243.70"
"IN04 0003 4567 8901 07/11/2024 Meesho 203.38 1,040.32"
IN04 0003 4567 8901 07/11/2024 DTH Recharge 248.91 791.41
IN04 0003 4567 8901 08/11/2024 PPF Contribution 218.65 572.76
IN04 0003 4567 8901 08/11/2024 Flipkart Order 179.56 393.20
IN04 0003 4567 8901 10/11/2024 UPI Payment 31.71 361.49
IN04 0003 4567 8901 10/11/2024 PPF Contribution 137.13 224.36
IN04 0003 4567 8901 11/11/2024 IRCTC Ticket 172.88 51.48
IN04 0003 4567 8901 11/11/2024 Hospital Bill 187.92 -136.44
IN04 0003 4567 8901 12/11/2024 Postpaid Bill 122.75 -259.19
IN04 0003 4567 8901 12/11/2024 NEFT Outward 52.47 -311.66
IN04 0003 4567 8901 14/11/2024 Mutual Fund SIP 9.02 -320.68
IN04 0003 4567 8901 14/11/2024 Loan Repayment 110.97 -431.65
IN04 0003 4567 8901 15/11/2024 Car Insurance 9.61 -441.26
IN04 0003 4567 8901 15/11/2024 DTH Recharge 113.18 -554.44
IN04 0003 4567 8901 16/11/2024 EMI Debit 115.43 -669.87
IN04 0003 4567 8901 16/11/2024 Stock Purchase 140.29 -810.16
IN04 0003 4567 8901 17/11/2024 Flipkart Order 125.62 -935.78
IN04 0003 4567 8901 17/11/2024 Term Plan 41.67 -977.45
IN04 0003 4567 8901 18/11/2024 Metro Card Recharge -7.09 -970.36
"IN04 0003 4567 8901 18/11/2024 IMPS Transfer 2,362.17 1,391.81"
"IN04 0003 4567 8901 18/11/2024 Insurance Premium 167.75 1,224.06"
"IN04 0003 4567 8901 19/11/2024 Gym Membership 214.16 1,009.90"
"IN04 0003 4567 8901 19/11/2024 Freelance Payment 33,485.06 34,494.96"
"IN04 0003 4567 8901 19/11/2024 Broadband Bill 763.90 33,731.06"
"IN04 0003 4567 8901 20/11/2024 Bonus Credit 5,889.73 39,620.79"
"IN04 0003 4567 8901 21/11/2024 IRCTC Ticket 28,864.35 10,756.44"
"IN04 0003 4567 8901 21/11/2024 ATM Withdrawal 2,398.60 8,357.84"
"IN04 0003 4567 8901 21/11/2024 Rental Income 76,713.77 85,071.61"
"IN04 0003 4567 8901 22/11/2024 IMPS Transfer 13,531.70 98,603.31"
"IN04 0003 4567 8901 22/11/2024 Myntra Order 9,884.28 88,719.03"
"IN04 0003 4567 8901 22/11/2024 Airport Cab 23,262.59 65,456.44"
"IN04 0003 4567 8901 23/11/2024 Postpaid Bill 923.80 64,532.64"
"IN04 0003 4567 8901 24/11/2024 Rental Income 55,828.86 120,361.50"
"IN04 0003 4567 8901 25/11/2024 Hotstar 113.82 120,247.68"
"IN04 0003 4567 8901 29/11/2024 Meesho 1,737.83 118,509.85"
"IN04 0003 4567 8901 29/11/2024 FD Opening 11,361.11 107,148.74"
"IN04 0003 4567 8901 29/11/2024 Lab Test 3,942.28 103,206.46"
"IN04 0003 4567 8901 03/12/2024 UPI Payment 28,381.39 131,587.85"
"IN04 0003 4567 8901 04/12/2024 Bus Booking 24,155.04 107,432.81"
"IN04 0003 4567 8901 05/12/2024 Refund - Amazon 3,493.49 110,926.30"
"IN04 0003 4567 8901 06/12/2024 Gym Membership 13,243.51 97,682.79"
"IN04 0003 4567 8901 06/12/2024 Mall Shopping 13,855.89 83,826.90"
"IN04 0003 4567 8901 07/12/2024 Loan Repayment 21,074.42 62,752.48"
"IN04 0003 4567 8901 07/12/2024 Cash Deposit 5,518.06 57,234.42"
"IN04 0003 4567 8901 09/12/2024 EMI Debit 12,101.17 45,133.25"
"IN04 0003 4567 8901 09/12/2024 Netflix Subscription 460.79 44,672.46"
"IN04 0003 4567 8901 10/12/2024 Internet Bill 440.05 44,232.41"
"IN04 0003 4567 8901 10/12/2024 Refund - Flipkart 3,070.99 47,303.40"
"IN04 0003 4567 8901 11/12/2024 Cash Deposit 2,614.39 44,689.01"
"IN04 0003 4567 8901 12/12/2024 Bus Pass 1,947.85 42,741.16"
"IN04 0003 4567 8901 12/12/2024 GST Refund 3,591.23 46,332.39"
"IN04 0003 4567 8901 12/12/2024 Amazon Purchase 1,279.21 45,053.18"
"IN04 0003 4567 8901 13/12/2024 Loan Repayment 1,544.18 43,509.00"
"IN04 0003 4567 8901 13/12/2024 Stock Purchase 32,816.83 10,692.17"
"IN04 0003 4567 8901 16/12/2024 Hospital Bill 716.49 9,975.68"
"IN04 0003 4567 8901 16/12/2024 UPI Payment 602.01 9,373.67"
"IN04 0003 4567 8901 16/12/2024 Airport Cab 627.06 8,746.61"
"IN04 0003 4567 8901 18/12/2024 Restaurant Bill 2,389.06 6,357.55"
"IN04 0003 4567 8901 19/12/2024 Meesho 516.28 5,841.27"
"IN04 0003 4567 8901 19/12/2024 BookMyShow 660.26 5,181.01"
"IN04 0003 4567 8901 19/12/2024 ATM Withdrawal 431.19 4,749.82"
"IN04 0003 4567 8901 20/12/2024 Mall Shopping 302.58 4,447.24"
"IN04 0003 4567 8901 20/12/2024 Uber Ride 1,685.70 2,761.54"
"IN04 0003 4567 8901 21/12/2024 ATM Withdrawal 222.20 2,539.34"
"IN04 0003 4567 8901 21/12/2024 Myntra Order 305.16 2,234.18"
"IN04 0003 4567 8901 21/12/2024 Stock Purchase 158.40 2,075.78"
"IN04 0003 4567 8901 22/12/2024 RD Installment 216.49 1,859.29"
"IN04 0003 4567 8901 23/12/2024 PPF Contribution 257.20 1,602.09"
IN04 0003 4567 8901 23/12/2024 Swiggy Order 901.07 701.02
IN04 0003 4567 8901 24/12/2024 Credit Card Payment 67.51 633.51
IN04 0003 4567 8901 24/12/2024 Credit Card Payment 128.77 504.74
IN04 0003 4567 8901 25/12/2024 Postpaid Bill 48.92 455.82
IN04 0003 4567 8901 26/12/2024 Mutual Fund SIP 207.21 248.61
IN04 0003 4567 8901 28/12/2024 Postpaid Bill 55.16 193.45
IN04 0003 4567 8901 30/12/2024 Insurance Premium 52.10 141.35
"IN04 0003 4567 8901 30/12/2024 UPI Payment 32,748.45 32,889.80"
"IN04 0003 4567 8901 31/12/2024 NEFT Inward 8,978.79 23,911.01"
"IN04 0003 4567 8901 31/12/2024 IRCTC Ticket 1,392.17 22,518.84"
"IN04 0003 4567 8901 31/12/2024 Cash Deposit 6,822.58 15,696.26"
"IN04 0004 5678 9012 01/01/2024 Spotify Premium 1,169.68 66,130.32"
"IN04 0004 5678 9012 02/01/2024 Netflix Subscription 268.16 65,862.16"
"IN04 0004 5678 9012 03/01/2024 Loan Repayment 5,873.47 59,988.69"
"IN04 0004 5678 9012 04/01/2024 Freelance Payment 37,899.59 97,888.28"
"IN04 0004 5678 9012 04/01/2024 Refund - Amazon 710.19 98,598.47"
"IN04 0004 5678 9012 05/01/2024 EMI Debit 1,453.28 97,145.19"
"IN04 0004 5678 9012 05/01/2024 Mutual Fund SIP 814.30 96,330.89"
"IN04 0004 5678 9012 05/01/2024 Electricity Bill 3,563.03 92,767.86"
"IN04 0004 5678 9012 06/01/2024 Airport Cab 20,863.04 71,904.82"
"IN04 0004 5678 9012 06/01/2024 Uber Ride 1,937.49 69,967.33"
"IN04 0004 5678 9012 07/01/2024 Hotel Booking 28,161.26 41,806.07"
"IN04 0004 5678 9012 07/01/2024 UPI Payment 23,931.62 17,874.45"
"IN04 0004 5678 9012 07/01/2024 UPI Payment 969.81 16,904.64"
"IN04 0004 5678 9012 09/01/2024 Ola Ride 2,960.48 13,944.16"
"IN04 0004 5678 9012 11/01/2024 Life Insurance 7,231.13 6,713.03"
"IN04 0004 5678 9012 11/01/2024 ATM Withdrawal 382.46 6,330.57"
"IN04 0004 5678 9012 12/01/2024 Cash Deposit 356.88 5,973.69"
"IN04 0004 5678 9012 15/01/2024 Hospital Bill 372.20 5,601.49"
"IN04 0004 5678 9012 15/01/2024 Loan Repayment 2,256.21 3,345.28"
"IN04 0004 5678 9012 17/01/2024 Electricity Bill 2,476.80 868.48"
IN04 0004 5678 9012 20/01/2024 Broadband Bill 115.36 753.12
IN04 0004 5678 9012 21/01/2024 Postpaid Bill 91.37 661.75
IN04 0004 5678 9012 23/01/2024 Ola Ride 121.48 540.27
IN04 0004 5678 9012 23/01/2024 Metro Card Recharge 50.98 489.29
IN04 0004 5678 9012 24/01/2024 Restaurant Bill 210.76 278.53
IN04 0004 5678 9012 24/01/2024 Stock Purchase 49.84 228.69
IN04 0004 5678 9012 24/01/2024 Mobile Recharge 206.79 21.90
IN04 0004 5678 9012 25/01/2024 Spotify Premium 119.14 -97.24
IN04 0004 5678 9012 26/01/2024 Electricity Bill 92.27 -189.51
IN04 0004 5678 9012 26/01/2024 Gas Bill 56.61 -246.12
IN04 0004 5678 9012 27/01/2024 Credit Card Payment 169.75 -415.87
IN04 0004 5678 9012 28/01/2024 Mall Shopping 82.16 -498.03
"IN04 0004 5678 9012 29/01/2024 UPI Received 33,512.16 33,014.13"
"IN04 0004 5678 9012 30/01/2024 Mobile Recharge 446.21 32,567.92"
"IN04 0004 5678 9012 30/01/2024 Bus Booking 6,905.48 25,662.44"
"IN04 0004 5678 9012 30/01/2024 Refund - Flipkart 4,573.09 30,235.53"
"IN04 0004 5678 9012 01/02/2024 Swiggy Order 2,478.88 27,756.65"
"IN04 0004 5678 9012 01/02/2024 Postpaid Bill 146.10 27,610.55"
"IN04 0004 5678 9012 01/02/2024 Bonus Credit 40,945.20 68,555.75"
"IN04 0004 5678 9012 03/02/2024 Stock Purchase 4,613.03 63,942.72"
"IN04 0004 5678 9012 03/02/2024 EMI Debit 21,101.64 42,841.08"
"IN04 0004 5678 9012 03/02/2024 Hotel Booking 4,241.55 38,599.53"
"IN04 0004 5678 9012 04/02/2024 Ola Ride 96.99 38,502.54"
"IN04 0004 5678 9012 04/02/2024 Cash Deposit 3,655.16 34,847.38"
"IN04 0004 5678 9012 05/02/2024 Insurance Premium 14,658.10 20,189.28"
"IN04 0004 5678 9012 05/02/2024 Stock Purchase 1,096.48 19,092.80"
"IN04 0004 5678 9012 05/02/2024 Loan Repayment 1,098.38 17,994.42"
"IN04 0004 5678 9012 08/02/2024 Cashback Credit 2,678.06 20,672.48"
"IN04 0004 5678 9012 08/02/2024 Gym Membership 15,082.47 5,590.01"
"IN04 0004 5678 9012 08/02/2024 Postpaid Bill 858.95 4,731.06"
"IN04 0004 5678 9012 09/02/2024 Credit Card Payment 3,347.81 1,383.25"
IN04 0004 5678 9012 10/02/2024 Mobile Recharge 820.15 563.10
"IN04 0004 5678 9012 10/02/2024 Cashback Credit 4,445.49 5,008.59"
"IN04 0004 5678 9012 12/02/2024 Prime Video 966.41 4,042.18"
"IN04 0004 5678 9012 12/02/2024 BookMyShow 344.55 3,697.63"
"IN04 0004 5678 9012 12/02/2024 Salary Credit 47,056.87 50,754.50"
"IN04 0004 5678 9012 13/02/2024 Gas Bill 1,269.30 49,485.20"
"IN04 0004 5678 9012 15/02/2024 Postpaid Bill 1,319.46 48,165.74"
"IN04 0004 5678 9012 15/02/2024 Mobile Recharge 1,154.20 47,011.54"
"IN04 0004 5678 9012 15/02/2024 EMI Debit 10,293.45 36,718.09"
"IN04 0004 5678 9012 16/02/2024 Bonus Credit 25,785.90 62,503.99"
"IN04 0004 5678 9012 16/02/2024 Myntra Order 5,309.35 57,194.64"
"IN04 0004 5678 9012 17/02/2024 Dividend Credit 67,216.99 124,411.63"
"IN04 0004 5678 9012 17/02/2024 PPF Contribution 34,076.26 90,335.37"
"IN04 0004 5678 9012 17/02/2024 Rental Income 38,898.38 129,233.75"
"IN04 0004 5678 9012 18/02/2024 Credit Card Payment 28,415.59 100,818.16"
"IN04 0004 5678 9012 18/02/2024 EMI Debit 6,462.25 94,355.91"
"IN04 0004 5678 9012 19/02/2024 Amazon Purchase 5,982.10 88,373.81"
"IN04 0004 5678 9012 19/02/2024 Gas Bill 4,795.46 83,578.35"
"IN04 0004 5678 9012 19/02/2024 Amazon Purchase 2,638.54 80,939.81"
"IN04 0004 5678 9012 21/02/2024 Stock Purchase 43,812.16 37,127.65"
"IN04 0004 5678 9012 23/02/2024 Bus Booking 27,972.13 9,155.52"
"IN04 0004 5678 9012 23/02/2024 FD Opening 607.94 8,547.58"
"IN04 0004 5678 9012 25/02/2024 Ola Ride 115.01 8,432.57"
"IN04 0004 5678 9012 25/02/2024 EMI Debit 530.36 7,902.21"
"IN04 0004 5678 9012 26/02/2024 Bus Booking 527.86 7,374.35"
"IN04 0004 5678 9012 26/02/2024 Prime Video 930.29 6,444.06"
"IN04 0004 5678 9012 27/02/2024 FD Opening 502.88 5,941.18"
"IN04 0004 5678 9012 27/02/2024 Hospital Bill 350.15 5,591.03"
"IN04 0004 5678 9012 27/02/2024 BookMyShow 1,177.42 4,413.61"
"IN04 0004 5678 9012 29/02/2024 BookMyShow 737.75 3,675.86"
"IN04 0004 5678 9012 01/03/2024 NEFT Outward 28,530.12 32,205.98"
"IN04 0004 5678 9012 02/03/2024 Life Insurance 2,838.19 29,367.79"
"IN04 0004 5678 9012 05/03/2024 NEFT Outward 17,747.37 47,115.16"
"IN04 0004 5678 9012 05/03/2024 Bus Pass 2,136.05 44,979.11"
"IN04 0004 5678 9012 06/03/2024 Spotify Premium 621.45 44,357.66"
"IN04 0004 5678 9012 06/03/2024 Freelance Payment 45,023.22 89,380.88"
"IN04 0004 5678 9012 09/03/2024 GST Refund 3,854.16 93,235.04"
"IN04 0004 5678 9012 09/03/2024 FD Opening 8,224.64 85,010.40"
"IN04 0004 5678 9012 09/03/2024 Postpaid Bill 1,465.82 83,544.58"
"IN04 0004 5678 9012 10/03/2024 Cash Deposit 9,741.26 73,803.32"
"IN04 0004 5678 9012 10/03/2024 Health Insurance 13,371.07 60,432.25"
"IN04 0004 5678 9012 11/03/2024 Netflix Subscription 1,124.03 59,308.22"
